회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕양에너젠,"수소가스, 고순도 수소가스",OC/리츠/스팩 ,0001A0,대한민국,신규상장,주권,2026-01-30,,"미래에셋증권 주식회사,엔에이치투자증권(주)",연료용 가스 제조 및 배관공급업,500,"10,000","75,000,000","24,791,195",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼성스팩13호,기업인수합병,,0115H0,대한민국,신규상장,주권,2026-01-21,,삼성증권(주),금융 지원 서비스업,100,"2,000","12,000,000","7,350,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
세미파이브,반도체 설계 서비스,,490470,대한민국,신규상장,주권,2025-12-29,,"삼성증권(주),유비에스증권 리미티드 서울지점","건축기술, 엔지니어링 및 관련 기술 서비스업","1,000","24,000","129,600,000","33,710,466",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
리브스메드,"다관절 다자유도 복강경 수술기구인 ArtiSential, ArtiSeal, ArtiStapler, LivsCam, Stark",,491000,대한민국,신규상장,주권,2025-12-24,,"미래에셋증권 주식회사,삼성증권(주)",의료용 기기 제조업,500,"55,000","135,850,000","24,681,691",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋비전스팩10호,기업인수합병,,0097F0,대한민국,신규상장,주권,2025-12-23,,미래에셋증권 주식회사,금융 지원 서비스업,100,"2,000","12,000,000","6,500,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼진식품,"반찬용 어묵, 국탕용 어묵 등 어묵관련 제품 판매",,0013V0,대한민국,신규상장,주권,2025-12-22,,대신증권(주),수산물 가공 및 저장 처리업,500,"7,600","15,200,000","9,918,656",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋비전스팩11호,기업인수합병,,0099W0,대한민국,신규상장,주권,2025-12-22,,미래에셋증권 주식회사,금융 지원 서비스업,100,"2,000","12,000,000","7,000,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하나36호스팩,기업인수합병,,0101C0,대한민국,신규상장,주권,2025-12-22,,하나증권주식회사,금융 지원 서비스업,100,"2,000","14,000,000","7,740,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엔더블유시,"FTTH Drop, FTTH 커넥터류, 5G CPRI, MDU, 광접속함체",,059180,대한민국,신규상장,주권,2025-12-22,,교보증권(주),통신 및 방송 장비 제조업,500,-,-,"5,314,090",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
IBKS제25호스팩,기업인수 및 합병,,0099X0,대한민국,신규상장,주권,2025-12-19,,IBK투자증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,980,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
알지노믹스,"인체질환치료제 및 진단제, 진단용 유전자재조합 의약품",,476830,대한민국,신규상장,주권,2025-12-18,,"엔에이치투자증권(주),삼성증권(주)",자연과학 및 공학 연구개발업,500,"22,500","46,350,000","13,756,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
